date,GMM_Regime_0,GMM_Regime_1,GMM_Regime_2,GMM_Regime_3,GMM_Regime_4,GMM_Regime_5
1985-06-01,0.0,3.610257977114143e-27,0.999945510091187,1.7138455872686186e-05,0.0,3.735145293739566e-05
1985-07-01,0.0,4.5996357671983256e-17,0.02436478949936082,0.9756352105004135,0.0,2.2272454090500993e-13
1985-08-01,0.0,4.818758415962074e-11,0.9857096426411205,0.014290357298169735,0.0,1.2523072765819575e-11
1985-09-01,0.0,5.08661513668741e-38,0.9999387247201916,6.127527980973244e-05,0.0,1.2569971228093845e-18
1985-10-01,0.0,1.1940199407487926e-27,1.0,2.471541079078317e-18,0.0,5.175064483270799e-37
1985-11-01,0.0,4.4638387578861035e-26,0.0005197467297129272,0.9994802532702844,0.0,3.696193065881898e-21
1985-12-01,0.0,6.858072761647662e-17,0.9999999999539,2.415126890318826e-14,0.0,4.6069508561035906e-11
1986-01-01,0.0,1.7999268682288017e-32,3.781495155473894e-07,0.9999996218504781,0.0,2.830888073808767e-38
1986-02-01,0.0,4.3939964479268255e-61,1.3209367690091361e-08,3.827999159153179e-29,0.0,0.999999986790634
1986-03-01,0.0,3.7757487905569287e-48,3.197713966824967e-10,5.160945950489324e-32,0.0,0.9999999996802273
1986-04-01,0.0,5.977138789731406e-50,0.9999999996868212,1.5226707930498908e-16,0.0,3.1317430646495146e-10
1986-05-01,0.0,4.3864941962346734e-29,0.9999969227076333,1.7781782364247133e-16,0.0,3.0772923675620293e-06
1986-06-01,0.0,4.994486884446215e-41,1.0,8.836517579105699e-27,0.0,1.476695685884928e-27
1986-07-01,0.0,2.382463243358052e-34,0.0028564545125058364,8.275502781657795e-09,0.0,0.9971435372119938
1986-08-01,0.0,4.027262618550577e-35,1.0,7.550370700108385e-57,0.0,1.2438612033094321e-26
1986-09-01,0.0,4.182404090794362e-62,1.0,3.740485273607378e-30,0.0,1.3745612264102973e-26
1986-10-01,0.0,2.0085275128814889e-60,1.8933599487383173e-05,6.972840340266803e-08,0.0,0.9999809966721098
1986-11-01,0.0,1.8416176848773973e-10,0.9999990990766116,1.4904068878334366e-08,0.0,8.858351543508873e-07
1986-12-01,0.0,6.168314712193165e-57,1.0,1.9256821013571352e-19,0.0,1.5685822955209344e-21
1987-01-01,0.0,1.0697681800193777e-39,1.0,4.1132064114321213e-16,0.0,7.44846473840687e-43
1987-02-01,0.0,5.531158202349903e-53,1.0,1.7615062928987284e-22,0.0,1.1061185591097372e-19
1987-03-01,0.0,8.762523962455627e-13,0.9999999999985576,5.130800197025876e-13,0.0,5.2201491536265205e-14
1987-04-01,0.0,3.9543676884383584e-28,0.9999253866751354,7.46133248564832e-05,0.0,9.870853798965138e-15
1987-05-01,0.0,1.1764917351708006e-29,0.9999222568275158,7.774317248230001e-05,0.0,5.136760617449618e-24
1987-06-01,0.0,1.4849547812661416e-16,0.9985745075069395,0.0008343191320640425,0.0,0.0005911733609947805
1987-07-01,0.0,1.4958161859113634e-18,0.9999865608309371,1.3439169059944115e-05,0.0,3.38591957851287e-16
1987-08-01,0.0,3.556968379287946e-35,0.9999887948257558,1.1205174241137052e-05,0.0,1.5870175378295665e-15
1987-09-01,0.0,1.0150131115893856e-20,0.00022604573983933167,0.9997739367439585,0.0,1.7516200143818363e-08
1987-10-01,0.0,1.3595693521824547e-18,4.342986877842513e-06,0.9999956570131251,0.0,2.6058863259896414e-16
1987-11-01,0.0,1.1809266103252493e-41,1.0,7.022206923328279e-19,0.0,2.0794240596779387e-36
1987-12-01,0.0,3.9154822990791986e-38,0.9999999999991402,8.608101297291157e-13,0.0,4.4982631531326186e-35
1988-01-01,0.0,3.2593908957711725e-44,1.0,2.5184399048353147e-27,0.0,8.608461010841788e-34
1988-02-01,0.0,3.189428326482778e-68,0.0001475791026325827,0.9998524208973643,0.0,4.2998439865507627e-42
1988-03-01,0.0,1.1512010614475638e-35,0.9999999999997442,3.7243407819469816e-18,0.0,2.5364026814267275e-13
1988-04-01,0.0,8.732647632114794e-35,0.9999994894468027,5.10528724770927e-07,0.0,2.4472687420262504e-11
1988-05-01,0.0,9.922021063830512e-34,1.6243480693571428e-06,3.9737557469694075e-12,0.0,0.9999983756479599
1988-06-01,0.0,3.400856478348493e-36,0.9928823329268976,0.007062143213748916,0.0,5.5523859351668625e-05
1988-07-01,0.0,7.342407749492843e-09,0.9990549332582991,0.000860724548467991,0.0,8.43348508278434e-05
1988-08-01,0.0,1.4331581871636039e-21,0.0002107546115191654,7.583409285001686e-13,0.0,0.9997892453877198
1988-09-01,0.0,8.474888717983125e-16,0.9999999998480433,1.810956424446508e-18,0.0,1.519577002356769e-10
1988-10-01,0.0,9.027434999140825e-14,0.999993774068398,6.201313643864114e-06,0.0,2.461786470324238e-08
1988-11-01,0.0,6.075924414838935e-13,0.0030244776560175483,1.22199695351643e-07,0.0,0.9969754001436814
1988-12-01,0.0,4.705102102267184e-16,0.9999999919264937,7.1386515255722845e-09,0.0,9.348522366355659e-10
1989-01-01,0.0,6.424080386535482e-39,1.0,3.0548060388338003e-31,0.0,5.505475178607671e-33
1989-02-01,0.0,2.6617239631990775e-76,1.3004861774790512e-06,6.195585034625789e-21,0.0,0.9999986995138174
1989-03-01,0.0,2.386972125251105e-16,1.0,1.8581439614575587e-18,0.0,3.5866329997772615e-18
1989-04-01,0.0,3.563314553234461e-23,0.999999223781198,5.6284125296248635e-08,0.0,7.199346797067211e-07
1989-05-01,0.0,2.9855709828714006e-28,4.5071804885322206e-05,4.920821400881485e-13,0.0,0.9999549281946196
1989-06-01,0.0,2.5419127787107274e-14,0.001739326901033351,9.139223585525888e-10,0.0,0.9982606721850199
1989-07-01,0.0,1.8993796077713916e-27,8.878561436875401e-09,0.0014503794185276118,0.0,0.9985496117029143
1989-08-01,0.0,6.3772074095036254e-27,1.9224583675640648e-14,0.9999999999999147,0.0,6.75969481389818e-14
1989-09-01,0.0,5.280408673399754e-14,0.9999999999730562,3.0279763397260066e-19,0.0,2.6893416681849523e-11
1989-10-01,0.0,8.747230755399577e-15,0.9994336104859528,2.047719350125174e-05,0.0,0.0005459123205403845
1989-11-01,0.0,1.0017351208001711e-08,0.9995505276242879,8.41268176728952e-05,0.0,0.00036533554068826396
1989-12-01,0.0,7.202598826598815e-18,1.0,2.6240545433131863e-15,0.0,6.546061042352941e-20
1990-01-01,0.0,9.328356197762895e-60,1.0,1.3225699732300004e-31,0.0,6.889546112490617e-64
1990-02-01,0.0,8.878139267889849e-34,7.55941613317852e-11,6.710013483725291e-26,0.0,0.9999999999244054
1990-03-01,0.0,5.259610844290048e-20,1.0,1.6432287663638177e-15,0.0,1.3714885795358303e-19
1990-04-01,0.0,1.9850369666844772e-25,4.523762550658144e-05,3.1068728412381396e-08,0.0,0.9999547313057621
1990-05-01,0.0,1.2066270062349457e-07,0.9999964286637032,3.45067359356068e-06,0.0,4.644938548836339e-34
1990-06-01,0.0,0.9999957578775943,4.240686451614188e-06,1.4359553048899748e-09,0.0,3.9640695445810937e-19
1990-07-01,0.0,1.298497048769866e-16,0.999998559315515,4.227868757581417e-12,0.0,1.440680258370839e-06
1990-08-01,0.0,6.483198143415014e-10,0.9999999993516866,1.1907539947298705e-50,0.0,2.2686998445260894e-20
1990-09-01,0.0,0.999895073070705,0.00010486824768963207,3.548075648189932e-16,0.0,5.8681602896408405e-08
1990-10-01,0.0,3.623830135502059e-51,3.842053349292667e-20,2.0401491578598572e-39,1.0,8.445559916585384e-26
1990-11-01,0.0,4.941550469192758e-90,6.498539629994305e-34,7.74817010856472e-55,1.0,2.4042282825500743e-38
1990-12-01,0.0,7.126112720992622e-50,5.913134509225196e-25,5.804521166748798e-31,1.0,5.57687481679054e-22
1991-01-01,0.0,1.9050660167355424e-64,6.500877924710202e-28,3.0128862666496567e-41,1.0,6.972205377144503e-52
1991-02-01,0.0,1.0781547108073216e-69,3.6176223545792025e-34,3.780725373381833e-42,1.0,4.6423999216115686e-42
1991-03-01,0.0,7.012876192072185e-50,3.0478474436691755e-26,9.356496221532588e-50,1.0,3.521331268971577e-47
1991-04-01,0.0,0.9999999991336139,8.663850410985501e-10,5.302894520191204e-25,0.0,1.6314739811184445e-20
1991-05-01,0.0,0.9999999977718304,2.228171511603934e-09,7.531450108206447e-17,0.0,1.8112639099199823e-22
1991-06-01,0.0,0.9999960916969064,3.9080948192122324e-06,2.082771859082179e-10,0.0,1.288966011287095e-19
1991-07-01,0.0,0.9999999999999858,1.1730436672949462e-14,1.7737949562396893e-20,0.0,3.758914562803819e-22
1991-08-01,0.0,0.9999999707939655,2.920562908136764e-08,4.0209372211735936e-13,0.0,3.945784134965853e-15
1991-09-01,0.0,0.9996976867128556,3.4709721320048044e-06,2.0703312044513406e-10,0.0,0.0002988421079806941
1991-10-01,0.0,0.9999862012848102,1.3798686520514828e-05,2.734309711825578e-11,0.0,1.3280248096242109e-12
1991-11-01,0.0,3.887339480975612e-24,0.9999999995453592,1.6725175569531905e-16,0.0,4.546422753427136e-10
1991-12-01,0.0,2.132210718671921e-27,9.417337906846708e-18,2.1047364164727494e-24,1.0,9.67616159705785e-22
1992-01-01,0.0,5.415136906162281e-38,6.622523361552805e-25,1.4363515756669798e-32,1.0,3.703340436675611e-42
1992-02-01,0.0,3.36992470426679e-05,0.9999658895546907,8.805653838827739e-08,0.0,3.2314172680316276e-07
1992-03-01,0.0,6.483983675108346e-06,0.9999934771456866,3.887063733653232e-08,0.0,8.798294621962898e-17
1992-04-01,0.0,0.9991582191587535,0.0008417798706449931,9.703779469033072e-10,0.0,2.2437708277139881e-13
1992-05-01,0.0,0.9988802019939163,0.0011197980021630666,3.551503224119412e-12,0.0,3.661786946580324e-13
1992-06-01,0.0,8.406548584985482e-07,0.9999991513880365,7.957104503128668e-09,0.0,8.448030439331407e-21
1992-07-01,0.0,0.999901910429043,9.808954079838606e-05,2.658664793981386e-11,0.0,3.570349636389642e-12
1992-08-01,0.0,2.623593063203619e-16,0.9999912676958038,8.732304188233515e-06,0.0,1.0384189677470272e-14
1992-09-01,0.0,5.004592941785421e-10,0.9999999829714029,1.6031304044591236e-08,0.0,4.968357674180166e-10
1992-10-01,0.0,5.17964830345636e-11,0.999972628332236,2.7371615968585663e-05,0.0,2.7097191346493694e-19
1992-11-01,0.0,8.004844119648358e-12,1.700644053748814e-06,2.365654787513067e-15,0.0,0.99999829934794
1992-12-01,0.0,1.0,1.5941628052387049e-16,5.989653529363591e-51,0.0,5.327548744007656e-47
1993-01-01,0.0,1.557853227316877e-14,0.9999999999999858,4.035802734390615e-48,0.0,6.234932528900674e-47
1993-02-01,0.0,1.232632272576225e-08,0.9999999876076444,6.589825760776526e-11,0.0,1.3337526002359921e-13
